drug	snp_gene	marker_id	genotype	star_gene	diplotype	effect	recommendation
warfarin	VKORC1	rs9923231 	HOM_ALT	CYP2C9	*2/*3	Повышенная чувствительность к препарату	Рассмотреть альтернативный пероральный антикоакулянт
warfarin	VKORC1	rs9923231 	HOM_ALT	CYP2C9	*3/*3	Повышенная чувствительность к препарату	Рассмотреть альтернативный пероральный антикоакулянт
warfarin	VKORC1	rs9923231 	HOM_ALT	CYP2C9	*1/*8	Повышенная чувствительность к препарату	Снизить дозу на 15-30%, проконсультироваться со специалистом
warfarin	VKORC1	rs9923231 	HOM_ALT	CYP2C9	*1/*11	Повышенная чувствительность к препарату	Снизить дозу на 15-30%, проконсультироваться со специалистом
warfarin	VKORC1	rs9923231 	HOM_ALT	CYP2C9	*8/*11	Повышенная чувствительность к препарату	Снизить дозу на 15-30%, проконсультироваться со специалистом
